Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS
2018-11-05,317.7752990722656,1187.313232421875,620.920166015625,555.4873657226562,2316.05029296875,268.3436279296875,425.3240966796875,930.9876708984375,1502.1473388671875,336.34906005859375,1427.9227294921875,567.9241943359375,220.907470703125,323.6748046875,1125.4412841796875,1224.5009765625,724.7454223632812,6796.6103515625,960.4025268554688,92.4051742553711,73.32681274414062,481.78765869140625,277.6200256347656,536.208984375,188.62820434570312,22.638994216918945,1668.4144287109375,581.333740234375,836.02001953125,3674.837890625
2018-11-06,313.9664611816406,1182.0162353515625,604.0646362304688,557.62158203125,2296.761474609375,269.9809265136719,428.72003173828125,926.489990234375,1494.728271484375,339.6678466796875,1417.35595703125,568.307861328125,219.09027099609375,321.02056884765625,1121.305908203125,1236.926025390625,727.5025024414062,6699.783203125,944.3782348632812,92.79646301269531,74.13475036621094,487.88568115234375,269.6194763183594,543.4791259765625,192.05690002441406,22.572345733642578,1705.34130859375,579.8309936523438,819.1292114257812,3645.48388671875
2018-11-07,314.5450439453125,1193.8988037109375,603.4678955078125,561.3318481445312,2305.252685546875,271.0429992675781,429.8242492675781,931.9159545898438,1505.627685546875,342.36126708984375,1425.4732666015625,576.025146484375,221.2630157470703,321.02056884765625,1130.2740478515625,1238.830322265625,741.054443359375,6749.87744140625,949.9688720703125,93.21786499023438,74.50918579101562,490.80206298828125,269.71356201171875,546.24658203125,193.6470184326172,22.74877166748047,1713.679931640625,582.0849609375,822.904296875,3682.6748046875
2018-11-09,325.53765869140625,1236.5125732421875,609.782470703125,568.6325073242188,2331.707763671875,265.2902526855469,428.3033142089844,925.9425048828125,1531.9603271484375,343.2751770019531,1436.040283203125,562.3812866210938,219.05081176757812,318.0460205078125,1131.5196533203125,1241.2340087890625,743.2507934570312,6897.22607421875,950.4894409179688,92.97705841064453,75.55359649658203,483.1795349121094,266.60748291015625,560.4585571289062,194.0445556640625,22.433168411254883,1684.60595703125,590.3917236328125,820.484375,3716.99365234375
2018-11-12,316.907470703125,1220.478759765625,603.1695556640625,553.4426879882812,2235.753662109375,262.1483459472656,432.0117492675781,914.3529052734375,1515.1990966796875,338.9463195800781,1434.2149658203125,566.3892211914062,216.36451721191406,315.3460693359375,1149.6048583984375,1239.964111328125,729.8390502929688,6711.90380859375,941.0598754882812,91.98379516601562,73.28739166259766,477.2361755371094,261.618896484375,553.0007934570312,184.90135192871094,22.8507022857666,1689.591064453125,604.8759765625,866.074951171875,3628.39794921875
2018-11-13,322.1627502441406,1226.3006591796875,614.8540649414062,555.6967163085938,2243.017578125,263.3431701660156,430.5116882324219,917.541748046875,1530.5865478515625,347.1710510253906,1427.0582275390625,567.6683349609375,218.73477172851562,318.5951843261719,1161.76171875,1261.6400146484375,738.390869140625,6771.23193359375,942.8770141601562,94.39173126220703,72.5385513305664,485.8308410644531,261.7130126953125,526.968994140625,178.39178466796875,23.099655151367188,1707.326904296875,607.7978515625,868.7367553710938,3728.72509765625
2018-11-14,320.13775634765625,1260.32470703125,609.2853393554688,556.2902221679688,2251.80322265625,266.66204833984375,415.46966552734375,931.8206787109375,1571.2530517578125,352.654296875,1453.9559326171875,557.009033203125,218.41873168945312,310.8156433105469,1125.8896484375,1255.8358154296875,719.2779541015625,6978.23828125,966.137451171875,94.72283172607422,73.28739166259766,485.1680908203125,266.9368896484375,487.8977966308594,175.70846557617188,23.095735549926758,1659.414306640625,584.5895385742188,863.6066284179688,3813.5732421875
2018-11-15,333.8304443359375,1258.1773681640625,622.6105346679688,558.2300415039062,2298.283203125,269.40570068359375,411.99041748046875,940.1024780273438,1562.59765625,355.9248962402344,1452.6109619140625,559.7379760742188,216.8780517578125,315.3918762207031,1158.124755859375,1268.3514404296875,716.3806762695312,7081.6943359375,972.5925903320312,92.5857925415039,73.74063873291016,484.6819763183594,268.6311340332031,483.207275390625,179.0874481201172,23.10553550720215,1652.531982421875,596.81982421875,891.2901611328125,3809.581787109375
2018-11-16,335.0357360839844,1261.0404052734375,616.3457641601562,568.0589599609375,2357.966064453125,294.4964904785156,425.9282531738281,953.9768676757812,1547.072998046875,353.568115234375,1441.995849609375,555.005126953125,218.4976806640625,306.69708251953125,1164.4521484375,1268.85009765625,717.4086303710938,6951.86572265625,993.3618774414062,92.73625946044922,74.13475036621094,498.1816101074219,273.8079833984375,487.56939697265625,178.78932189941406,22.507658004760742,1664.66455078125,607.756103515625,891.8223876953125,3857.724853515625
2018-11-19,338.0249938964844,1252.307861328125,612.865234375,571.0808715820312,2317.572021484375,298.12518310546875,433.3868408203125,958.5462036132812,1558.3388671875,348.6140441894531,1477.3951416015625,555.72998046875,224.77894592285156,308.11572265625,1171.07861328125,1285.3111572265625,730.2596435546875,7018.57861328125,961.3319702148438,92.07408142089844,74.76535034179688,508.1682434082031,271.2195739746094,498.6388854980469,183.46031188964844,22.83306121826172,1678.6497802734375,611.554443359375,891.0480346679688,3925.43798828125
